scaffold,count
O=C1CC2CCC12,1
O=C1CC2CC3CC1C23,1
O=C1CCOCC1=O,1
O=C1CCOCC1,1
O=C1CCO1,1
O=C1CCNNN1,1
O=C1CCNN1,1
O=C1CCNC1,1
O=C1CCCO1,1
O=C1CCCN1,1
O=C1CCCCO1,1
C1=CN=C1,1
O=C1CCCCC1,1
O=C1CCCC2OC2O1,1
O=C1CCCC12CC2,1
O=C1CCC=CO1,1
O=C1CCC2NC2C1=O,1
O=C1CCC2CCC12,1
O=C1N=CNC1=O,1
O=C1N=C2C=CCN12,1
O=C1COC2CCC12,1
O=C1COC2CC12,1
O=C1COC2=CCC12,1
O=C1COC(=O)C(=O)C1,1
O=C1CNCC2CC12,1
O=C1CNC=C2CC2N1,1
O=C1CNC2CCC12,1
O=C1CNC2(CO2)C1,1
O=C1CNC12CN2,1
O=C1CN=CO1,1
O=C1CN=C2CN=C12,1
O=C1CN=C2CC12,1
O=C1CN2C=CCN=C12,1
O=C1CN1,1
O=C1OC2CC(O1)C2=O,1
O=C1OC2C3CCC12C3,1
O=C1OC2=C1C=CC2,1
O=C1OC23CCC2N13,1
O=C1NCCO1,1
O=C1NCCCN1Cc1ccccc1,1
O=C1NCCCN1,1
O=C1NCCCC2OC12,1
O=C1NCCC2NC12,1
O=C1NCC2CC12,1
O=C1NCC1CC1CC1,1
O=C1NC=CN=CO1,1
O=C1NC=CCN1,1
O=C1NC2C=CNC2N1,1
O=C1NC2C=CN=C12,1
O=C1NC23C4CC2C13N4,1
O=c1cccncc1,1
C1=CCN=C1,1
O=c1cccccc1,1
C1=CCCC=C1,1
C1=CC=CCC=C1,1
O=c1ccc2cc3c(cc2o1)NCC3,1
O=c1cc[nH]cc1,1
O=c1cc[nH]c(=O)[nH]1,1
O=c1[nH]cc[nH]c1=O,1
O=C1OCC2CCC2O1,1
O=C1OCC2CC12,1
O=C1OCC12CCC2,1
O=C1OC=CCC2OC12,1
O=C1OC2NC2C12CO2,1
O=C1OC2CN3CC2N13,1
O=C1OC2CCC1C2,1
c1ccc(COc2cccc3cccnc23)cc1,1
c1ccc(-c2cnc3ccc(-c4cccc5ncccc45)cc3c2)cc1,1
c1ccc(-c2ccc(-c3cccc4ncccc34)cc2)cc1,1
c1cc2sccc2s1,1
c1cc2ccsc2s1,1
c1cc(C2CCCCC2)c2cccnc2c1,1
c1cc(-c2ccncc2)c2cccnc2c1,1
c1cc(-c2ccc(-n3cccn3)cc2)c2cccnc2c1,1
c1cc(-c2ccc(-c3ccncc3)cc2)c2cccnc2c1,1
