ai_rank,add1,add2,ai_score,opt_pce,synergy_delta,synergy_label,mechanisms
115,硫氰酸铅,苯基三甲基溴化铵,0.15,21.31,-0.5,antagonistic,{'Dipole'}
116,六氟磷酸钾,对甲苯磺酸水合物,0.15,22.3,0.49,neutral,{'Interface'}
117,2-噻吩甲胺氢碘酸盐,对甲苯磺酸水合物,0.15,22.79,0.98,synergy,{'Interface'}
118,对甲苯磺酸水合物,香豆素,0.15,22.67,0.86,synergy,{'Interface'}
119,对甲苯磺酸水合物,甲基丙烯酸二甲氨基乙酯,0.15,24.0,2.18,synergy,{'Interface'}
120,(2-苯乙基)磷酸,对甲苯磺酸水合物,0.15,22.67,0.86,synergy,{'Interface'}
121,(2-苯乙基)磷酸,甲基丙烯酸二甲氨基乙酯,0.15,23.82,2.01,synergy,{'Interface'}
122,六氟磷酸钾,苯基三甲基溴化铵,0.0,21.93,0.12,neutral,set()
123,二苯并呋喃,苯基三甲基溴化铵,0.0,22.14,0.33,neutral,set()
124,三氟甲磺酸钠,苯基三甲基溴化铵,0.0,22.87,1.06,synergy,set()
125,2-噻吩甲胺氢碘酸盐,苯基三甲基溴化铵,0.0,22.32,0.51,synergy,set()
126,苯基三甲基溴化铵,香豆素,0.0,23.04,1.22,synergy,set()
127,二甲胺氢碘酸盐,苯基三甲基溴化铵,0.0,22.01,0.2,neutral,set()
128,β-环糊精,苯基三甲基溴化铵,0.0,21.74,-0.08,neutral,set()
129,哌嗪单盐酸盐,苯基三甲基溴化铵,0.0,23.45,1.64,synergy,set()
130,甲基丙烯酸二甲氨基乙酯,苯基三甲基溴化铵,0.0,22.72,0.91,synergy,set()
131,2-乙酰基吡嗪,苯基三甲基溴化铵,0.0,21.48,-0.33,antagonistic,set()
