add1,add2,score,mechs,rank
2-(4-氟苯基)乙胺盐酸盐,对甲苯磺酸水合物,0.65,"{'Lewis', 'Dipole', 'Interface'}",277
2-(4-氟苯基)乙胺盐酸盐,3-氨基-1-丙烷磺酸,0.65,"{'Lewis', 'Dipole', 'Interface'}",278
2-(4-氟苯基)乙胺盐酸盐,(2-苯乙基)磷酸,0.65,"{'Lewis', 'Dipole', 'Interface'}",279
"2,4-二氨基-6-氟嘧啶",2-氨基乙磺酸,0.65,"{'Lewis', 'Dipole', 'Interface'}",280
对甲苯磺酸水合物,"2,4-二氨基-6-氟嘧啶",0.65,"{'Lewis', 'Dipole', 'Interface'}",281
2-(4-氟苯基)乙胺盐酸盐,2-氨基乙磺酸,0.65,"{'Lewis', 'Dipole', 'Interface'}",282
3-氨基-1-丙烷磺酸,"2,4-二氨基-6-氟嘧啶",0.65,"{'Lewis', 'Dipole', 'Interface'}",283
3-氨基-1-丙烷磺酸,硫氰酸铅,0.65,"{'Lewis', 'Dipole', 'Interface'}",284
四(五氟苯基)硼酸钾,3-氨基-1-丙烷磺酸,0.65,"{'Lewis', 'Dipole', 'Interface'}",285
四(五氟苯基)硼酸钾,氨基甲烷磺酸,0.65,"{'Lewis', 'Dipole', 'Interface'}",286
2-氨基乙磺酸,硫氰酸铅,0.65,"{'Lewis', 'Dipole', 'Interface'}",287
四(五氟苯基)硼酸钾,2-氨基乙磺酸,0.65,"{'Lewis', 'Dipole', 'Interface'}",288
2-噻吩甲胺氢碘酸盐,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",289
2-(4-氟苯基)乙胺盐酸盐,噻吩-2-甲脒氢碘酸盐,0.5,"{'Lewis', 'Dipole'}",290
醋酸甲脒,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",291
二甲氨基硫代乙酰胺盐酸盐,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",292
2-(4-氟苯基)乙胺盐酸盐,L-高精氨酸盐酸盐,0.5,"{'Lewis', 'Dipole'}",293
醋酸甲脒,对甲苯磺酸水合物,0.5,"{'Lewis', 'Interface'}",294
三氟甲磺酸钠,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",295
8-辛二胺氢碘酸盐,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",296
8-辛二胺氢碘酸盐,3-氨基-1-丙烷磺酸,0.5,"{'Lewis', 'Interface'}",297
醋酸甲脒,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",298
2-(4-氟苯基)乙胺盐酸盐,4-氨基四氢噻喃盐酸盐,0.5,"{'Lewis', 'Dipole'}",299
2-(4-氟苯基)乙胺盐酸盐,硫氰酸铅,0.5,"{'Lewis', 'Dipole'}",300
S-乙基异硫脲氢溴酸盐,(2-苯乙基)磷酸,0.5,"{'Lewis', 'Interface'}",301
香豆素,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",302
S-乙基异硫脲氢溴酸盐,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",303
甲亢平,四(五氟苯基)硼酸钾,0.5,"{'Lewis', 'Dipole'}",304
甲亢平,硫氰酸铅,0.5,"{'Lewis', 'Dipole'}",305
香豆素,3-氨基-1-丙烷磺酸,0.5,"{'Lewis', 'Interface'}",306
